Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
labs_procalcitoninunits,daily,,radio,Procalcitonin Units,"1, ug/L | 2, ng/mL | 3, Other",,,,,,[daily_datatype(3)]='1',,RH,,,,
labs_procalcitoninotherunit,daily,,text,Specify Procalcitonin Units,,,,,,,[labs_procalcitoninunits]='3',,,,,,
labs_creactiveprotein,daily,,text,C Reactive Protein,,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_creactiveproteinunits,daily,,radio,C Reactive Protein Units,"1, mg/L | 2, mg/dL | 3, Other",,,,,,[daily_datatype(3)]='1',,RH,,,,
labs_creactiveproteinotherunit,daily,,text,Specify C Reactive Protein Units,,,,,,,[labs_creactiveproteinunits]='3',,,,,,
labs_lactatedehydrogenase,daily,,text,Lactate Dehydrogenase,,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_lactatedehydrogenaseunits,daily,,radio,Lactate Dehydrogenase Units,"1, U/L | 2, IU/L | 3, Other",,,,,,[daily_datatype(3)]='1',,RH,,,,
labs_lactatedehydrogenaseotherunit,daily,,text,Specify Lactate Dehydrogenase Units,,,,,,,[labs_lactatedehydrogenaseunits]='3',,,,,,
labs_creatinekinase,daily,,text,Creatine Kinase,,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_creatinekinaseunits,daily,,radio,Creatine Kinase Units,"1, U/L | 2, IU/L | 3, Other",,,,,,[daily_datatype(3)]='1',,RH,,,,
labs_creatinekinaseotherunit,daily,,text,Specify Creatine Kinase Units,,,,,,,[labs_creatinekinaseunits]='3',,,,,,
labs_troponini,daily,,text,Troponin I,,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_troponiniunits,daily,,radio,Troponin I Units,"1, ug/L | 2, ng/L | 3, ng/dL | 4, Other",,,,,,[daily_datatype(3)]='1',,RV,,,,
labs_troponiniotherunit,daily,,text,Specify Troponin I Units,,,,,,,[labs_troponiniunits]='4',,,,,,
labs_ddimer,daily,,text,D-Dimer,,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_ddimerunits,daily,,radio,D-Dimer Units,"1, mg/L | 2, ug/L | 3, ng/mL | 4, Other",,,,,,[daily_datatype(3)]='1',,RV,,,,
labs_ddimerotherunit,daily,,text,Specify D-Dimer Units,,,,,,,[labs_ddimerunits]='4',,,,,,
labs_ferritin,daily,,text,Ferritin,,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_ferritinunits,daily,,radio,Ferritin Units,"1, ug/L | 2, ng/mL | 3, Other",,,,,,[daily_datatype(3)]='1',,RH,,,,
labs_ferritinotherunit,daily,,text,Specify Ferritin Units,,,,,,,[labs_ferritinunits]='3',,,,,,
labs_interleukin6,daily,,text,Interleukin 6,,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_interleukin6units,daily,,radio,Interleukin 6 Units,"1, ng/L | 2, ng/mL | 3, Other",,,,,,[daily_datatype(3)]='1',,RH,,,,
labs_interleukin6otherunit,daily,,text,Specify Interleukin 6 Units,,,,,,,[labs_interleukin6units]='3',,,,,,
labs_fibrinogen,daily,,text,Fibrinogen (mg/dL),,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_fibrinogenother,daily,,radio,Fibrinogen units,"1, g/L | 2, other",,,,,,[daily_datatype(3)]='1',,RH,,,,
labs_fibrinogenotherunit,daily,,text,Specify fibrinogen unit,,,,,,,[daily_datatype(3)]='1',,RH,,,,
labs_albumin,daily,,text,Albumin,,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_albuminunits,daily,,radio,Albumin Units,"1, g/dL | 2, mmol/L | 3, g/L | 4, Other",,,,,,[daily_datatype(3)]='1',,RV,,,,
labs_albuminotherunit,daily,,text,Specify Albumin Units,,,,,,,[labs_albuminunits]='4',,,,,,
labs_proteintp,daily,,text,Protein TP (g/L),,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_partialpressurecarbondioxide,daily,,text,Partial Pressure Carbon Dioxide,,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_partialpressurecarbondioxideunits,daily,,radio,Partial Pressure Carbon Dioxide Units,"1, mmHg | 2, kPa | 3, Other",,,,,,[daily_datatype(3)]='1',,RH,,,,
labs_partialpressurecarbondioxideotherunit,daily,,text,Specify Partial Pressure Carbon Dioxide Units,,,,,,,[labs_partialpressurecarbondioxideunits]='3',,,,,,
labs_ph,daily,,text,pH,,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_hco3,daily,,text,HCO3- ,,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_hco3units,daily,,radio,HCO3-  Units,"1, mEq/L | 2, mmol/L | 3, Other",,,,,,[daily_datatype(3)]='1',,RH,,,,
labs_hco3otherunit,daily,,text,Specify HCO3-  Units,,,,,,,[labs_hco3units]='3',,,,,,
labs_baseexcess,daily,,text,Base Excess (mmol/L),,,number,,,,[daily_datatype(3)]='1',,,,,,
imaging_xray,daily,IMAGING,radio,Was a chest X-Ray performed?,"1, Yes | 2, No",,,,,,[daily_datatype(4)]='1',,RH,,,,
imaging_xraydate,daily,,text,X-ray date ,,,date_dmy,,,,[imaging_xray] = '1',,,,,,
imaging_xrayresult,daily,,checkbox,X-Ray result,"1, Normal | 2, Pulmonary oedema | 3, Pneumonia | 4, Pleural effusion | 5, Other",,,,,,[imaging_xray] = '1',,RV,,,,
imaging_xrayresultother,daily,,text,Specify other x-ray result,,,,,,,[imaging_xrayresult(5)] = '1',,,,,,
imaging_pleuraleffside,daily,,checkbox,On which side was pleural effusion identified? ,"1, Right | 2, Left",,,,,,[imaging_xrayresult(4)] = '1',,RV,,,,
imaging_ultrasound,daily,,radio,Was an ultrasound performed?,"1, Yes | 2, No",,,,,,[daily_datatype(4)]='1',,RH,,,,
imaging_ultrasounddate,daily,,text,Ultrasound date ,,,date_dmy,,,,[imaging_ultrasound] = '1',,,,,,
imaging_ultrasoundascites,daily,,radio,Ascites,"1, Yes | 2, No",,,,,,[imaging_ultrasound] = '1',,RH,,,,
imaging_ultrasoundascitessize,daily,,radio,Ascites size,"1, Small | 2, Moderate | 3, Severe",,,,,,[imaging_ultrasoundascites] = '1',,RH,,,,
imaging_ultrasoundpleural,daily,,radio,Pleural effusion,"1, Yes | 2, No",,,,,,[imaging_ultrasound] = '1',,RH,,,,
imaging_ultrasoundpleuralsizeright,daily,,text,Pleural effusion right size (cm),,,number,,,,[imaging_ultrasoundpleural] = '1',,,,,,
imaging_ultrasoundpleuralsizeleft,daily,,text,Pleural effusion left size (cm),,,number,,,,[imaging_ultrasoundpleural] = '1',,,,,,
imaging_ultrasoundpericardial,daily,,radio,Pericardial effusion,"1, Yes | 2, No",,,,,,[imaging_ultrasound] = '1',,RH,,,,
imaging_ultrasoundpericardialsize,daily,,text,Pericardial effusion size (cm),,,number,,,,[imaging_ultrasoundpericardial] = '1',,,,,,
imaging_liversize,daily,,text,Liver size (cm),,,number,,,,[imaging_ultrasound] = '1',,,,,,
imaging_gallbladderwall,daily,,text,Gallbladder wall (cm),,,number,,,,[imaging_ultrasound] = '1',,,,,,
imaging_unlisted,daily,,radio,Other finding,"1, Yes | 2, No",,,,,,[imaging_ultrasound] = '1',,,,,,
imaging_unlistedother,daily,,text,Specify other ultrasound findings,,,,,,,[imaging_unlisted] = '1',,,,,,
medicationtype,outcome_medication,,radio,"While hospitalised or at discharge, select medication administered? ","1, Antiviral agent | 2, Convalescent plasma | 3, Antibiotic | 4, Corticosteroid | 5, Anticoagulation | 6, Antifungal agent | 7, Inotropes/vasopressor | 8, Other treatments for pathogen including experimental or compassionate use",,,,,,,,,,,,
antiviralagent,outcome_medication,,radio,Antiviral agent? ,"1, Brincidofovir | 2, Chloroquine/hydroxychloroquine | 3, Cidofovir | 4, Interferon alpha | 5, Interferon beta | 6, Interleukin-6 (IL-6) inhibitor | 7, Lopinavir/Ritonavir | 8, Oseltamivir (Tamiflu",,,,,,[medicationtype] = '1',,,,,,
convalescentplasma,outcome_medication,,radio,Convalescent plasma? ,"1, Convalescent plasma | 2, Other | 3, Unknown",,,,,,[medicationtype] = '2',,,,,,
antibioticagent,outcome_medication,,radio,Antibiotic,"1, Penicillins | 2, Cephalosporins | 3, Tetracyclines | 4, Aminoglycosides | 5, Macrolides | 6, Sulfonamides and trimethoprim | 7, Quinolones | 8, Other | 9, Unknown",,,,,,[medicationtype] = '3',,,,,,
corticosteroid_agent,outcome_medication,,radio,Corticosteroid agent,"1, Dexamethasone | 2, Prednisolone | 3, Hydrocortisone | 4, Methylprednisolone | 5, Other | 6, Unknown",,,,,,[medicationtype] = '4',,,,,,
anticoagulationagent,outcome_medication,,radio,Anticoagulation,"1, Apixaban | 2, Dabigatran | 3, Edoxaban | 4, Rivaroxaban | 5, Warfarin | 6, Other | 7, Unknown",,,,,,[medicationtype] = '5',,,,,,
anticoagulationroute,outcome_medication,,radio,Anticoagulation route,"1, Oral | 2, Subcutaneous | 3, IV",,,,,,[medicationtype] = '5',,,,,,
antifungalagent,outcome_medication,,radio,Antifungal agent,"1, Clotrimazole | 2, Econazole | 3, Miconazole | 4, Terbinafine | 5, Fluconazole | 6, Ketoconazole | 7, Nystatin | 8, Amphotericin | 9, Other | 10, Unknown",,,,,,[medicationtype] = '6',,,,,,
inotropesvasopressor,outcome_medication,,radio,Inotropes/vasopressor,"1, Vasopressin | 2, Phenylephrine | 3, Epinephrine | 4, Norepinephrine | 5, Dopamine | 6, Angiotensin-II | 7, Terlipressin | 8, Other | 9, Unknown",,,,,,[medicationtype] = '7',,,,,,
medicationother,outcome_medication,,text,Specify other medication,,,,,,,[medicationtype] = '8' or [convalescentplasma] = '2' or [antibioticagent] = '8' or [corticosteroid_agent] = '5' or [anticoagulationagent] = '6' or [antifungalagent] = '9' or [inotropesvasopressor] = '8' or [antiviralagent] = '15',,,,,,
knownstardate,outcome_medication,,radio,Do you know the medication start date?,"1, Yes | 2, No",,,,,,,,,,,,
medicationdate,outcome_medication,,text,Date started / first dose,,,date_dmy,,,,[knownstardate] = '1',,,,,,
numberofdays,outcome_medication,,text,Total # of days treatment given,,,number,,,,,,,,,,
diagnostics_hepatitis,outcome,,radio,Hepatitis viruses,"1, Lab positive | 2, Lab negative | 3, Not done",,,,,,,,,,,,
diagnostics_hepatitistype,outcome,,radio,Hepatitis type,"1, A | 2, B | 3, C | 4, D | 5, E | 6, Other",,,,,,[diagnostics_hepatitis] = '1',,RH,,,,
diagnostics_hepatitistypeother,outcome,,text,Specify other type of hepatitis,,,,,,,[diagnostics_hepatitistype] = '6',,RH,,,,
diagnostics_dengue,outcome,,radio,Dengue infection,"1, Tested | 2, Not done",,,,,,,,RH,,,,
diagnostics_denguensirdt,outcome,,radio,NSI RDT,"1, Positive | 2, Negative | 3, Not done",,,,,,[diagnostics_dengue] = '1',,RH,,,,
diagnosis_denguerdtns1,outcome,,radio,NS1/IgM/IgG combination test (RDT) - NS1,"1, Positive | 2, Negative | 3, Not done",,,,,,[diagnostics_dengue] = '1',,RH,,,,
diagnosis_denguerdtigm,outcome,,radio,NS1/IgM/IgG combination test (RDT) - igM,"1, Positive | 2, Negative | 3, Not done",,,,,,[diagnostics_dengue] = '1',,RH,,,,
diagnosis_denguerdtigg,outcome,,radio,NS1/IgM/IgG combination test (RDT) - igG,"1, Positive | 2, Negative | 3, Not done",,,,,,[diagnostics_dengue] = '1',,RH,,,,
diagnosis_denguensielisa,outcome,,radio,NSI ELISA,"1, Positive | 2, Negative | 3, Not done",,,,,,[diagnostics_dengue] = '1',,RH,,,,
diagnostics_dengueigmiggelisa1date,outcome,,text,Date of IgM/IgG ELISA first Sample,,,date_dmy,,,,[diagnostics_dengue] = '1',,RH,,,,
diagnosis_dengueigmelisa1result,outcome,,radio,IgM ELISA first sample,"1, Positive | 2, Negative | 3, Not done",,,,,,[diagnostics_dengue] = '1',,RH,,,,
diagnosis_dengueiggelisa1result,outcome,,radio,IgG ELISA first sample,"1, Positive | 2, Negative | 3, Not done",,,,,,[diagnostics_dengue] = '1',,RH,,,,
diagnostics_dengueigmiggelisa2date,outcome,,text,Date of IgM/IgG ELISA second Sample,,,date_dmy,,,,[diagnostics_dengue] = '1',,RH,,,,
diagnosis_dengueigmelisa2,outcome,,radio,igM ELISA first sample,"1, Positive | 2, Negative | 3, Not done",,,,,,[diagnostics_dengue] = '1',,,,,,
diagnosis_dengueiggelisa2,outcome,,radio,igG ELISA first sample,"1, Positive | 2, Negative | 3, Not done",,,,,,[diagnostics_dengue] = '1',,,,,,
diagnosis_denguepcr,outcome,,radio,Dengue PCR  ,"1, Positive | 2, Negative | 3, Not done",,,,,,[diagnostics_dengue] = '1',,RH,,,,
diagnostics_denguedenvtype,outcome,,radio,Dengue virus type,"1, DENV1 | 2, DENV2 | 3, DENV3 | 4, DENV4",,,,,,[diagnosis_denguepcr] = '1',,RH,,,,
diagnostics_bacterial,outcome,,radio,Bacterial testing,"1, Lab confirmed | 2, Lab negative | 3, Not done",,,,,,,,,,,,
diagnostics_bacterialspecify,outcome,,notes,Specify bacterial pathogen(s) detected,,,,,,,[diagnostics_bacterial] = '1',,,,,,
diagnostics_unlisted,outcome,,radio,Other pathogen(s) detected,"1, Yes | 2, No",,,,,,,,RH,,,,
diagnostics_unlistedother,outcome,,notes,Specify other pathogens detected,,,,,,,[diagnostics_unlisted] = '1',,,,,,
complications_shock,outcome,COMPLICATIONS: At any time during hospitalisation did the patient experience,radio,Shock ,"1, Yes | 2, No",,,,,,,,RH,,,,
complications_seizure,outcome,,radio,Seizure,"1, Yes | 2, No",,,,,,,,RH,,,,
complications_focalneurological,outcome,,radio,Focal neurological signs,"1, Yes | 2, No",,,,,,,,RH,,,,
complications_severeneurologic,outcome,,radio,Severe neurological disease,"1, Yes | 2, No",,,,,,,,RH,,,,
complications_meningitis,outcome,,radio,Meningitis / Encephalitis,"1, Yes | 2, No",,,,,,,,RH,,,,
complications_sepsis,outcome,,radio,Sepsis,"1, Yes | 2, No",,,,,,,,RH,,,,
complications_coagulationdisorder,outcome,,radio,Coagulation disorder / DIC,"1, Yes | 2, No",,,,,,,,RH,,,,
complications_severebleeding,outcome,,radio,Severe bleeding (requiring intervention),"1, Yes | 2, No",,,,,,,,RH,,,,
complications_bleedingsite,outcome,,checkbox,Site of bleeding,"1, Skin | 2, Nose | 3, Gums | 4, GI tract | 5, Urinary tract | 6, Vaginal | 7, Other",,,,,,[complications_severebleeding] = '1',,,,,,
complications_acuterespiratorydistr,outcome,,radio,Acute Respiratory Distress Syndrome,"1, Yes | 2, No",,,,,,,,RH,,,,
complications_cardiacarrhythmia,outcome,,radio,Cardiac arrhythmia,"1, Yes | 2, No",,,,,,,,RH,,,,
complications_cardiacarrest,outcome,,radio,Cardiac arrest,"1, Yes | 2, No",,,,,,,,RH,,,,
complications_myocarditis,outcome,,radio,Myocarditis / Pericarditis,"1, Yes | 2, No",,,,,,,,RH,,,,
complications_pleuraleffusion,outcome,,radio,Pleural effusion,"1, Yes | 2, No",,,,,,,,RH,,,,
complications_severeliverdisease,outcome,,radio,Severe liver disease,"1, Yes | 2, No",,,,,,,,RH,,,,
complications_severeliverdiseasetype,outcome,,checkbox,Severe liver disease type,"1, Acute hepatitis | 2, Jaundice | 3, Hepatic encephalopathy (any grade)",,,,,,[complications_severeliverdisease] = '1',,,,,,
complications_ascites,outcome,,radio,Ascites,"1, Yes | 2, No",,,,,,,,RH,,,,
complications_acuterenalinjury,outcome,,radio,Acute renal injury / Acute renal failure,"1, Yes | 2, No",,,,,,,,RH,,,,
complications_unlisted,outcome,,radio,Other complications,"1, Yes | 2, No",,,,,,,,RH,,,,
complications_unlistedother,outcome,,notes,Specify other complications,,,,,,,[complications_unlisted] = '1',,RH,,,,
interventionsdengue_fluidtype,outcome,"INTERVENTIONS While hospitalised, were any of the following administered/undertaken? ",checkbox,Select all Parenteral / IV fluid that were administered,"1, Crystalloid | 2, Albumin | 3, Gelatin | 4, Starches | 5, None",,,,,,,,,,,,
interventionsdengue_crystalloidvol,outcome,,text,Crystalloid volume (mL/24 hours),,,,,,,[interventionsdengue_fluidtype(1)] = '1',,,,,,
interventionsdengue_albuminvol,outcome,,text,Albumin volume (mL/24 hours),,,,,,,[interventionsdengue_fluidtype(2)] = '1',,,,,,
interventionsdengue_gelatinvol,outcome,,text,Gelatin volume (mL/24 hours),,,,,,,[interventionsdengue_fluidtype(3)] = '1',,,,,,
interventionsdengue_starchesvol,outcome,,text,Starches volume (mL/24 hours),,,,,,,[interventionsdengue_fluidtype(4)] = '1',,,,,,
interventionsdengue_reasonivfluid,outcome,,checkbox,Reason(s) for IV fluid (check all that apply),"1, Shock | 2, High/rising haematocrit | 3, Anorexia | 4, Persistent vomiting | 5, Other",,,,,,[interventionsdengue_fluidtype(1)] = '1' or [interventionsdengue_fluidtype(2)] = '1' or [interventionsdengue_fluidtype(3)] = '1' or [interventionsdengue_fluidtype(4)] = '1',,,,,,
interventionsdengue_reasonivfluidother,outcome,,text,Specify other reason for IV fluid,,,,,,,[interventionsdengue_reasonivfluid(5)] = '1',,RH,,,,
interventionsdengue_fluidstart,outcome,,text,Date first IV fluid started,,,datetime_dmy,,,,[interventionsdengue_fluidtype(1)] = '1' or [interventionsdengue_fluidtype(2)] = '1' or [interventionsdengue_fluidtype(3)] = '1' or [interventionsdengue_fluidtype(4)] = '1',,,,,, @HIDEBUTTON
interventionsdengue_fluidend,outcome,,text,Date last IV fluid ended,,,datetime_dmy,,,,[interventionsdengue_fluidtype(1)] = '1' or [interventionsdengue_fluidtype(2)] = '1' or [interventionsdengue_fluidtype(3)] = '1' or [interventionsdengue_fluidtype(4)] = '1',,,,,,
interventionsdengue_bloodprodtype,outcome,,checkbox,Select all  blood product tranfusion that were administered,"1, Platelets | 2, Cryoprecipitate | 3, Whole blood/packed RBC | 4, Frozen fresh plasma | 5, Fibrinogen concentrate | 6, None",,,,,,,,,,,,
interventionsdengue_plateletsvol,outcome,,text,Platelets volume  (mL/24 hours ),,,number,,,,[interventionsdengue_bloodprodtype(1)] = '1',,,,,,
interventionsdengue_cryoprecivol,outcome,,text,Cryoprecipitate volume  (mL/24 hours ),,,number,,,,[interventionsdengue_bloodprodtype(2)] = '1',,,,,,
interventionsdengue_rbcvol,outcome,,text,Whole blood/packed RBC volume  (mL/24 hours ),,,number,,,,[interventionsdengue_bloodprodtype(3)] = '1',,,,,,
interventionsdengue_ffpvol,outcome,,text,Fresh Frozen Plasma (FFP) volume   (mL/24 hours ),,,number,,,,[interventionsdengue_bloodprodtype(4)] = '1',,,,,,
interventionsdengue_plateletsvol_2,outcome,,text,Fibrinogen concentrate volume   (mL/24 hours ),,,number,,,,[interventionsdengue_bloodprodtype(5)] = '1',,,,,,
interventionsdengue_ivimmunoglobulin,outcome,,radio,Intravenous Immunoglobulin?,"1, Yes | 2, No",,,,,,,,RH,,,,
interventionsdengue_diuretics,outcome,,radio,Diuretics? ,"1, Yes | 2, No",,,,,,,,RH,,,,
interventionsdengue_nacetylcysteine,outcome,,radio,N-acetyl cysteine? ,"1, Yes | 2, No",,,,,,,,RH,,,,
interventionsdengue_fluiddrain,outcome,,radio,Fluid drainage?,"1, Yes | 2, No",,,,,,,,RH,,,,
interventionsdengue_fluiddrainreason,outcome,,radio,Reason for this drainage,"1, Ascites | 2, Pleural effusion",,,,,,[interventionsdengue_fluiddrain] = '1',,RH,,,,
interventionsdengue_plamaexch,outcome,,radio,Plasmapheresis/Plasma Exchange?,"1, Yes | 2, No",,,,,,,,RH,,,,
interventionsdengue_daysplasmasupport,outcome,,text,Days on plasma exchange support ,,,number,,,,[interventionsdengue_plamaexch] = '1',,RH,,,,
interventionsdengue_neuromuscularblocking,outcome,,radio,Neuromuscular blocking agents?,"1, Yes | 2, No",,,,,,[inclusioncriteria_disease(4)] = '1',,RH,,,,
interventions_suppleo2,outcome,,radio,Any supplemental oxygen during the observation,"1, Yes | 2, No",,,,,,,,RH,,,,
interventions_o2supporttype,outcome,,radio,what is the most amount of respiratory support a patient received?,"1, Nasal prong | 2, Face mask | 3, High-flow nasal oxygen | 4, Non-invasive ventilation | 5, Invasive ventilation | 6, ECLS/ ECMO",,,,,,[interventions_suppleo2]='1',,,,,,
interventions_highestfio2,outcome,,text,Highest FiO2,,,number,,,,[interventions_o2supporttype] = '4' or [interventions_o2supporttype] = '5' or [interventions_o2supporttype] = '6',,,,,,
interventions_highestfio2units,outcome,,radio,Highest FiO2 unit,"1, decimal (0.21-1.0) | 2, %",,,,,,[interventions_o2supporttype] = '4' or [interventions_o2supporttype] = '5' or [interventions_o2supporttype] = '6',,,,,,
interventions_o2therapydays,outcome,,text,Number of calendar days the patient received any of this oxygen therapy ,,,number,,,,[interventions_o2supporttype] = '4' or [interventions_o2supporttype] = '5' or [interventions_o2supporttype] = '6',,,,,,
interventions_niventtype,outcome,,radio,What type of Non-invasive ventilation? ,"1, CPAP | 2, BIPAP | 3, Other",,,,,,[interventions_o2supporttype] = '4',,,,,,
interventions_ecmotype,outcome,,radio,What type of ECLS/ ECMO? ,"1, Veno-venus | 2, Arterio-venous | 3, Central",,,,,,[interventions_o2supporttype] = '6',,,,,,
interventions_nitricoxide,outcome,,radio,Inhaled Nitric Oxide?,"1, Yes | 2, No",,,,,,,,RH,,,,
interventions_tracheostomy,outcome,,radio,Tracheostomy inserted? ,"1, Yes | 2, No",,,,,,,,RH,,,,
interventions_rtt,outcome,,radio,Renal replacement therapy (RRT) or dialysis?,"1, Yes | 2, No",,,,,,,,RH,,,,
interventions_rttduration,outcome,,text,Total RRT or dialysis duration during observation,,,,,,,[interventions_rtt] = '1',,,,,,
interventions_inotropesvasopr,outcome,,radio,Inotropes/vasopressors?,"1, Yes | 2, No",,,,,,,,RH,,,,
interventions_inotropesvasoprduration,outcome,,text,Total Inotropes/vasopressor duration during observation,,,,,,,[interventions_inotropesvasopr] = '1',,,,,,
interventions_icu,outcome,,radio,ICU/ITU/High Dependency Unit/Intermediate Care Unit admission ?,"1, Yes | 2, No",,,,,,,,RH,,,,
interventions_icuadmindate,outcome,,text,Date of first ICU admission,,,date_dmy,,,,[interventions_icu] = '1',,,,,,
interventions_icuduration,outcome,,text,Duration of first ICU admission (days),,,number,,,,[interventions_icu] = '1',,,,,,
interventions_icureadmission,outcome,,radio,Was the patient admitted to ICU more than once? ,"1, Yes | 2, No",,,,,,[interventions_icu] = '1',,RH,,,,
interventions_icuadmindate2,outcome,,text,Date of second ICU admission,,,date_dmy,,,,[interventions_icu] = '1',,,,,,
interventions_icuduration2,outcome,,text,Duration of second ICU admission (days),,,number,,,,[interventions_icu] = '1',,,,,,
outcome_maindiagnosisdengue,outcome,OUTCOME,radio,Was the patient's MAIN diagnosis dengue?,"1, Yes | 2, No",,,,,,,,RH,,,,
outcome_maindiagnosisdengueclass,outcome,,radio,"What was the final classification of dengue?
","1, Uncomplicated dengue | 2, Dengue with warning signs | 3, Severe dengue",,,,,,[outcome_maindiagnosisdengue] = '1',,,,,,
outcome_maindiagnosisdenguecomplications,outcome,,checkbox,Severe dengue Complications:,"1, Dengue shock syndrome | 2, Severe bleeding | 3, Severe organ impairment",,,,,,[outcome_maindiagnosisdengueclass] = '3',,,,,,
outcome_maindiagnosis,outcome,,text,What was the main diagnosis?,,,,,,,[outcome_maindiagnosisdengue] = '2' or [outcome_maindiagnosisdengue] = '3',,,,,,
outcome_secondarydiagnosis,outcome,,radio,Was there any secondary diagnosis?,"1, Yes | 2, No",,,,,,,,RH,,,,
outcome_secondarydiagnosisspecify,outcome,,text,Specify secondary diagnosis,,,,,,,[outcome_secondarydiagnosis] = '1',,RH,,,,
outcome_date,outcome,,text,Outcome date,,,date_dmy,,,,,,,,,,
outcome_outcome,outcome,,radio,Outcome,"1, Discharged alive | 2, Still hospitalised | 3, Transfer to other facility | 4, Death | 5, Palliative discharge | 6, Unknown",,,,,,,,,,,,
outcome_selfcarafterillness,outcome,,radio,Ability to self-care at discharge versus before illness,"1, Same as before illness | 2, Worse | 3, Better | 4, Unknown",,,,,,[outcome_outcome] = '1',,,,,,
outcome_ongoingcare,outcome,,radio,Ongoing health care needs relating to this admission for pathogen,"1, Yes | 2, No",,,,,,[outcome_outcome] = '1' or [outcome_outcome] = '2',,RH,,,,
outcome_ongoingcarenotrelated,outcome,,radio,Ongoing health care needs NOT related to pathogen episode,"1, Yes | 2, No",,,,,,[outcome_outcome] = '1' or [outcome_outcome] = '2',,RH,,,,
outcome_carefordiffreason,outcome,,radio,"Medically fit for discharge (pathogen resolved) but remains in hospital for other reason (For instance awaiting alternate care, resident in long term health care or mental health facility)","1, Yes | 2, No",,,,,,[outcome_outcome] = '2' and [outcome_outcome] = '3',,RH,,,,
