Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,preset_Disease_Core,preset_Disease_Dengue,preset_Disease_Mpox,preset_Disease_Nigeria_Mpox,preset_UK-CCP_Generic
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, within 24 hours of presentation / admission",adsym_dystonia_site,checkbox,Specify distonia site (_Under Revision),"1, Right Upper Extremity | 2, Right Lower Extremity | 3, Left Upper Extremity | 4, Left Lower Extremity | 5, Face | 88, Other",,,,,[adsym_dystonia]='1',,,,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, within 24 hours of presentation / admission",adsym_dystonia_other,text,Specify other distonia site (_Under Revision),,,,,,[adsym_dystonia_site(88)]='1',,,,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, within 24 hours of presentation / admission",adsym_ptosis,radio,Ptosis (_Under Revision),"1, Yes, unilateral | 2, Yes, bilateral | 0, No",,,,,,,,,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, within 24 hours of presentation / admission",adsym_facepalsy,radio,Facial palsy (_Under Revision),"1, Yes | 0, No",,,,,,,,,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, within 24 hours of presentation / admission",adsym_dysarthria,radio,Dysarthria (_Under Revision),"1, Yes | 0, No",,,,,,,,,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, within 24 hours of presentation / admission",adsym_dysphasia,radio,Dysphasia (_Under Revision),"1, Yes | 0, No",,,,,,,,,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, within 24 hours of presentation / admission",adsym_plantreflex,radio,Plantar reflex (_Under Revision),"1, Equivocal | 3, Extensor | 4, Flexor | 0, Absent",,,,,,,,,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, within 24 hours of presentation / admission",adsym_tendreflex,radio,Deep tendon reflex (_Under Revision),"1, Diminished | 3, Exaggerated | 4, Normal | 0, Absent",,,,,,,,,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, within 24 hours of presentation / admission",adsym_neurologic,radio,Other neurological abnormality,"1, Yes | 0, No | 99, Unknown",,,,,,,,,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, within 24 hours of presentation / admission",adsym_neurologic_other,text,Specify other neurological abnormality,,,,,,[adsym_neurologic] = '1',,,,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, within 24 hours of presentation / admission",adsym_unlisted_yn,list,Other sign(s) or abnormality,"1, Yes | 0, No | 99, Unknown",,,,conditions_Symptoms,,1,1,,,
daily,ASSESSMENT,daily_day,text,Clinical Visit Day:,,number,,,,,,,,1,
daily,ASSESSMENT,daily_visityn,radio,Has this visit taken place?,"1, Yes | 0, No",,,,,,,,,1,
daily,ASSESSMENT,daily_novisit,text,Reason why visit not done:,,,,,,[daily_visityn]='0',,,,1,
daily,ASSESSMENT,daily_date,date_dmy,DATE OF ASSESSMENT,,date_dmy,,today,,,1,1,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,daily_datasympt,radio,Enter signs and symptoms data for this date?,"1, Yes | 0, No",,,,,,,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_feverplus,radio,Fever / chills / rigors,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_fever,radio,Fever,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_cough,radio,Cough,"1, Yes, non-productive | 2, Yes, productive | 3, Yes, with haemoptysis | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_sorethroat,radio,Sore throat,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_catarrh,radio,Catarrh,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_rhinorrhoea,radio,Runny nose (rhinorrhoea),"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_wheezing,radio,Wheezing,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_shortbreat,radio,Shortness of breath ,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_headache,radio,Headache,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_retroorbit,radio,Retro-orbital pain,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_convulsion,radio,Convulsions,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_seizconv,radio,Seizures / Convulsions,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_restlessne,radio,Restlessness,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_fatigue,radio,Fatigue / Malaise / Lethargy,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_myalgia,radio,Muscle aches / myalgia,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_chestindrw,radio,Lower chest wall indrawing,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_lrt,radio,Lower Respiratory Tract symptoms,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_weight,radio,Weight loss,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_chestpain,radio,Chest pain,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_anosmia,radio,Loss of smell / anosmia,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_ageusia,radio,Loss of taste / ageusia,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_lymph,radio,Lymphadenopathy,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_lymphspec,checkbox,Specify sites:,"1, Lymph nodes | 2, Axillary (arm pits) | 3, Cervical (neck) | 4, Inguinal (groin) | 88, Other | 99, Unknown",,,,,[sympt_lymph]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_lymphoth,text,Specify other site:,,,,,,[sympt_lymphspec(88)]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_confusion,radio,Altered consciousness / confusion,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_encephalitis,radio,Encephalitis,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_ocular,radio,Ocular complications,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_phary,radio,Pharyngitis/tonsillitis,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_neurodist,radio,Psychological disturbance,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_seizures,radio,Seizures,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_keratitis,radio,Keratitis,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_conjunctiv,radio,Conjunctivitis,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_pruritus,radio,Pruritus,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_dta,radio,Deep tissue abscess,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_anorec,radio,Ano-rectitis,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_mobile,radio,Mobility status,"1, Fully ambulant | 2, Ambulant, but with some assistance | 3, Bedridden",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_bacsi_yn,radio,Bacterial super-infection,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_bacsi,checkbox,Specify bacterial super-infection,"1, Folliculitis/cellulitis | 2, Pneumonia | 3, Gastroenteritis | 4, CNS | 5, Bacteraemia | 6, Urinary tract | 88, Other",,,,,[sympt_bacsi_yn]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_bacsi_oth,text,Specify other bacterial super-infection,,,,,,[sympt_bacsi(88)]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_arthralgia,radio,Joint pain / arthralgia,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_walk,radio,Inability to walk,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_abdpain,radio,Abdominal pain,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_diarrhoea,radio,Diarrhoea,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_consti,radio,Constipation,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_vomnau,radio,Vomiting / Nausea,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_vomit,radio,Vomiting,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_vomit2d,radio,"If yes, persistant vomiting? (2+/day)","1, Yes | 0, No | 99, Unknown",,,,,[sympt_vomit]='1',,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_nausea,radio,Nausea,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_urine,radio,Urinary retention,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_jaund,radio,Jaundice,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_anorexia,radio,Anorexia,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_skinrash,radio,Skin rash,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_haemorrhag,group,Bleeding / haemorrhage,,,,,,,,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_haemorrhag_yn,radio,Bleeding / haemorrhage,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_haemorrhag_site,checkbox,Specify bleeding / haemorrhage site(s),"1, Skin | 2, Nose | 3, Gums |4, GI tract | 5, Urinary tract | 6, Vagina | 88, Other | 99, Unknown",,,,,[sympt_haemorrhag_yn] = '1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_haemorrhag_other,text,Specify other bleeding / haemorrhage site(s),,,,,,[sympt_haemorrhag_site(88)]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_dizzy,radio,Feeling dizzy / faint,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_sti,radio,Concurrent Sexually transmitted infection (STI):   ,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_sti_spec,text,State diagnosis of current STI,,,,,,[sympt_sti]='1',,,,1,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_nystagm,radio,Nystagmus (_Under Revision),"1, Yes | 0, No | 99, Unknown",,,,,,,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_myoclon,radio,Myoclonus (_Under Revision),"1, Yes | 0, No | 99, Unknown",,,,,,,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_cerebesig,radio,Cerebellar signs (_Under Revision),"1, Yes | 0, No | 99, Unknown",,,,,,,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_tremor,radio,Tremor (_Under Revision),"1, Yes | 0, No | 99, Unknown",,,,,,,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_dystonia,radio,Dystonia (_Under Revision),"1, Yes | 0, No | 99, Unknown",,,,,,,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_dystonia_site,checkbox,Specify distonia site (_Under Revision),"1, Right Upper Extremity | 2, Right Lower Extremity | 3, Left Upper Extremity | 4, Left Lower Extremity | 5, Face | 88, Other",,,,,[sympt_dystonia]='1',,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_dystonia_other,text,Specify other distonia site (_Under Revision),,,,,,[sympt_dystonia_site(88)]='1',,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_ptosis,radio,Ptosis (_Under Revision),"1, Yes, unilateral | 2, Yes, bilateral | 0, No",,,,,,,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_facepalsy,radio,Facial palsy (_Under Revision),"1, Yes | 0, No | 99, Unknown",,,,,,,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_dysarthria,radio,Dysarthria (_Under Revision),"1, Yes | 0, No | 99, Unknown",,,,,,,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_dysphasia,radio,Dysphasia (_Under Revision),"1, Yes | 0, No | 99, Unknown",,,,,,,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_plantreflex,radio,Plantar reflex (_Under Revision),"1, Equivocal | 3, Extensor | 4, Flexor | 0, Absent",,,,,,,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_tendreflex,radio,Deep tendon reflex (_Under Revision),"1, Diminished | 3, Exaggerated | 4, Normal | 0, Absent",,,,,,,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_neurologic,radio,Other neurological abnormality,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datasympt]='1',,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_neurologic_other,text,Specify other neurological abnormality,,,,,,[sympt_neurologic] = '1' and [daily_datasympt]='1',,,,,
daily,SIGNS AND SYMPTOMS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,sympt_unlisted,list,Other sign(s) or symptom(s),"1, Yes | 0, No | 99, Unknown",,,,conditions_Symptoms,[daily_datasympt]='1',,,,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,daily_datavital,radio,Enter Vital Signs data for this date?,"1, Yes | 0, No",,,,,,1,1,,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_highesttem,group,Highest temperature (select units),,,,,,[daily_datavital]='1',1,,,,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_highesttem_c,number,Highest temperature (C),,number,,,,[daily_datavital]='1',1,1,,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_highesttem_f,number,Highest temperature (F),,number,,,,[daily_datavital]='1',1,1,,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_hr,number,HR (beats/minute),,number,,,,[daily_datavital]='1',1,1,,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_rr,number,RR (bpm),,number,,,,[daily_datavital]='1',1,1,,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_systolicbp,number,Systolic BP (mmHg),,number,,,,[daily_datavital]='1',1,1,,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_diastolicbp,number,Diastolic BP (mmHg),,number,,,,[daily_datavital]='1',1,1,,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_meanbp,number,Mean Arterial Blood Pressure (mmHg),,number,,,,[daily_datavital]='1',,,,,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_spo2,number,Lowest Oxygen saturation SpO2 (%),,number,,,,[daily_datavital]='1',1,1,,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_fio2low,radio,FiO2 measured at time of lowest SpO2 ,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datavital]='1',1,1,,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_fio2spo2,,FiO2 at time of lowest SpO2 (select units),,,,,,[vital_fio2low] = '1',1,,,,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_fio2spo2_02110,number,"FiO2 at time of lowest SpO2 (Fraction, 0.21-1.0)",,number,,,,[vital_fio2low] = '1',1,1,,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_fio2spo2_pcnt,number,"FiO2 at time of lowest SpO2 (%, 21-100)",,number,,,,[vital_fio2low] = '1',1,1,,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_capillaryr,radio,Capillary refill time >2seconds,"1, Yes | 0, No | 99, Unknown",,,,,[daily_datavital]='1',1,1,,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_avpu,radio,AVPU,"1, Alert | 2, Verbal | 3, Pain | 4, Unresponsive",,,,,[daily_datavital]='1',1,1,,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_gcs,number,Glasgow Coma Score (GCS / 15) ,,number,3,15,,[daily_datavital]='1',1,1,,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_rass,number,Richmond Agitation-Sedation Scale (RASS) ,,number,,,,[daily_datavital]='1',1,,,,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_svrbld,radio,Severe bleeding (requiring intervention),"1, Yes | 0, No",,,,,[daily_datavital]='1',,1,,,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_svrbldloc,checkbox,"If yes, specify severe bleeding sites:","1, Skin | 2, Nose | 3, Gums | 4, GI tract | 5, Urinary tract | 6, Vaginal | 88, Other",,,,,[vital_svrbld]='1',,1,,,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_svrbldloco,text,Specify other site:,,,,,,[vital_svrbldloc(88)]='1',,1,,,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_urineflow,number,Urine flow rate (mL/24 hours),,number,,,,[daily_datavital]='1',1,1,,,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_mpox,group,MPOX,,,,,,,,,,,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_mpox_care,radio,Current level of care:,"1, Outpatient | 2, Admitted to normal ward for isolation only | 3, Admitted to normal ward for clinical care | 4, Intensive care admission",,,,,[daily_datavital]='1',,,,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_mpox_rash,radio,Site where mpox rash first occurred,"1, Genital skin | 2, Non-genital skin | 3, Mouth | 99, Unknown| 88, Other",,,,,[daily_datavital]='1',,,,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_mpox_rashoth,text,Specify first rash other location,,,,,,[vital_mpox_rash]='88',,,,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_mpox_rashdate,date_dmy,Date first rash was observed by patient,,date_dmy,,today,,[daily_datavital]='1',,,,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_mpox_dist,radio,Rash distribution,"1, Generalised | 2, Localised around the genitals | 3, Centrifugal- more on the extremities | 4, Centripetal- more on the trunk | 99, Unknown distribution | 88, Other distribution",,,,,[daily_datavital]='1',,,,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_mpox_distoth,text,Specify other rash distribution:,,,,,,[vital_mpox_dist]='88',,,,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_mpox_morph,radio,Rash morphology,"1, Mostly discrete lesions | 2, Semi-confluent lesions | 3, Confluent lesions | 4, Mixed morphology | 99, Unknown",,,,,[daily_datavital]='1',,,,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_mpox_morphsize,radio,Rash size (skin) - widest diameter of any lesion,"1, Less than 0.5cm | 2, 0.5-0.99cm | 3, 1-1.99cm | 4, 2+ cm",,,,,[daily_datavital]='1',,,,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,vital_mpox_skinles,radio,Current mpox skin lesion status:,"1, There are active skin lesions | 2, There are skin lesions and none of them are active (lesions in the process of healing & resolving, including scabbed lesions) | 3, All skin lesions have completely resolved (all scabs have fallen off with intact skin) | 4, No skin lesions have developed to date",,,,,[daily_datavital]='1',,,,1,
